,status_kep_rumah,penghasilan_utm_ayah,penghasilan_tmbh_ayah,penghasilan_utm_ibu,penghasilan_tmbh_ibu,pajak_r2,pajak_r4,daya_listrik,pbb,skor_ukt,ukt_sebelum_sanggah
356,1,8,0,0,0,2.0,0.0,2,1.0,5.48,5.0
357,1,9,0,0,0,2.0,3.0,4,1.0,7.18,6.0
358,1,9,0,0,0,6.0,4.0,3,0.0,7.23,6.0
359,0,4,0,0,0,2.0,0.0,0,0.0,3.57,3.0
360,0,0,0,0,0,2.0,0.0,2,0.0,3.78,3.0
361,0,0,0,7,0,2.0,0.0,3,0.0,4.97,4.0
362,1,7,0,8,0,3.0,0.0,4,1.0,6.83,6.0
363,0,8,0,9,0,3.0,3.0,4,0.0,10.0,8.0
364,0,7,0,0,0,4.0,0.0,3,0.0,5.05,4.0
365,1,8,0,0,0,1.0,1.0,4,1.0,6.0,5.0
366,1,5,0,0,0,0.0,0.0,1,0.0,4.1,4.0
367,0,9,0,0,0,3.0,3.0,4,0.0,6.7,6.0
368,0,7,0,0,0,2.0,0.0,3,0.0,4.97,4.0
369,1,7,0,0,0,3.0,0.0,4,0.0,5.57,5.0
370,1,9,0,7,0,2.0,3.0,3,1.0,7.84,7.0
371,1,0,0,11,0,5.0,1.0,3,1.0,6.78,6.0
372,1,9,0,9,0,1.0,1.0,3,1.0,7.32,6.0
373,1,8,0,0,0,0.0,0.0,2,0.0,5.0,4.0
374,1,6,0,6,0,3.0,0.0,4,0.0,6.23,5.0
375,1,11,0,0,0,0.0,0.0,5,2.0,5.78,5.0
376,1,10,0,0,0,2.0,0.0,3,1.0,5.65,5.0
377,1,11,0,0,0,7.0,4.0,4,1.0,7.57,6.0
378,1,2,0,10,0,6.0,3.0,2,2.0,6.99,6.0
379,1,7,0,7,0,6.0,0.0,3,1.0,6.54,6.0
380,0,4,0,0,0,2.0,0.0,2,0.0,4.27,4.0
381,1,6,0,0,0,2.0,0.0,3,1.0,5.27,5.0
382,1,8,0,0,0,2.0,0.0,2,1.0,5.48,5.0
383,1,9,0,0,0,7.0,0.0,3,2.0,5.97,5.0
384,1,10,0,0,0,3.0,3.0,3,2.0,6.91,6.0
385,1,0,0,0,0,0.0,0.0,4,3.0,4.26,4.0
386,0,10,0,0,0,2.0,0.0,0,0.0,4.3,4.0
387,1,5,0,7,0,1.0,3.0,3,2.0,7.02,6.0
388,1,11,0,0,0,0.0,4.0,6,0.0,6.91,6.0
389,1,11,0,0,0,4.0,2.0,2,1.0,6.78,6.0
390,1,7,0,9,0,5.0,2.0,4,1.0,8.1,7.0
391,0,7,0,0,0,2.0,0.0,4,0.0,5.14,4.0
392,1,11,0,0,0,3.0,3.0,4,2.0,7.09,6.0
393,0,0,0,0,0,5.0,0.0,3,0.0,4.04,4.0
394,0,5,1,6,1,0.0,0.0,5,0.0,5.38,5.0
395,1,9,0,2,0,3.0,0.0,3,1.0,6.0,5.0
396,1,0,0,8,0,3.0,0.0,0,0.0,4.74,4.0
397,1,8,0,0,0,2.0,0.0,2,0.0,5.43,5.0
398,0,9,0,9,0,3.0,0.0,3,0.0,6.67,6.0
399,1,9,0,0,0,2.0,2.0,4,2.0,7.05,6.0
400,0,10,0,0,0,5.0,4.0,3,0.0,6.65,6.0
401,1,0,0,7,0,2.0,1.0,3,2.0,6.31,5.0
402,1,9,0,0,0,3.0,0.0,2,3.0,5.7,5.0
403,1,12,0,0,0,6.0,4.0,4,3.0,7.65,6.0
404,1,0,0,7,0,4.0,0.0,2,0.0,5.23,5.0
405,1,10,0,0,0,2.0,1.0,3,1.0,6.7,6.0
406,1,8,0,0,0,3.0,0.0,3,1.0,5.65,5.0
407,0,8,0,0,0,2.0,0.0,3,0.0,5.17,5.0
408,1,9,0,9,0,6.0,4.0,3,1.0,8.45,7.0
409,1,10,0,0,0,6.0,0.0,4,0.0,6.04,5.0
410,1,7,0,10,0,3.0,3.0,3,1.0,7.88,7.0
411,1,9,0,0,0,4.0,3.0,3,1.0,6.92,6.0
412,1,0,0,9,0,4.0,0.0,3,1.0,5.79,5.0
413,1,6,0,1,0,3.0,1.0,2,1.0,6.05,5.0
414,0,5,0,0,0,0.0,0.0,3,0.0,4.18,4.0
